lambda,regularizer,val_acc,val_recall,val_pre,val_f1,train_acc
2.036611,,,,,,
0.270251,l2,0.896969696969697,0.896969696969697,0.8978786909711118,0.8968486029889539,0.9325842696629213
4.502511,l1,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
3.341161,,,,,,
8.310341,,,,,,
8.480271,,,,,,
6.327301,l1,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
7.059121,l2,0.9151515151515152,0.9151515151515152,0.9154394917673031,0.9144851845032341,0.9388264669163545
2.151461,l1,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9400749063670412
0.558171,,,,,,
4.093761,l2,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
8.711451,,,,,,
6.479891,,,,,,
7.613661,l2,0.9151515151515152,0.9151515151515152,0.9154394917673031,0.9144851845032341,0.9388264669163545
0.531141,l1,0.906060606060606,0.9060606060606061,0.9063893105857973,0.9058848705542976,0.9388264669163545
7.644261,l1,0.9151515151515152,0.9151515151515152,0.9154394917673031,0.9144851845032341,0.9388264669163545
6.799961,,,,,,
3.325191,l1,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
4.767301,l1,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
1.825771,l2,0.9121212121212121,0.9121212121212121,0.9122959528639042,0.9115498032679531,0.9400749063670412
5.274921,l2,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
2.083991,l1,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9413233458177278
6.283901,l1,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
0.117621,l1,0.896969696969697,0.896969696969697,0.8978786909711118,0.8968486029889539,0.9338327091136079
5.876271,l2,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
4.147951,l2,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
5.774421,l1,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
0.166231,,,,,,
3.154841,l2,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9400749063670412
6.981681,,,,,,
4.335021,,,,,,
9.332471,l2,0.9181818181818182,0.9181818181818183,0.9187416817906836,0.9174726085124315,0.9363295880149812
6.554851,l1,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
9.917051,l2,0.9181818181818182,0.9181818181818183,0.9187416817906836,0.9174726085124315,0.9363295880149812
7.607161,l1,0.9151515151515152,0.9151515151515152,0.9154394917673031,0.9144851845032341,0.9388264669163545
6.856481,l1,0.9151515151515152,0.9151515151515152,0.9154394917673031,0.9144851845032341,0.9388264669163545
3.838431,l1,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
0.037331,l2,0.896969696969697,0.896969696969697,0.8978786909711118,0.8968486029889539,0.9313358302122348
6.333481,,,,,,
8.988951,,,,,,
0.555071,l2,0.9030303030303031,0.903030303030303,0.9035002035002035,0.9027950274558899,0.9375780274656679
6.174081,l2,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
3.595651,l1,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
7.356511,l2,0.9151515151515152,0.9151515151515152,0.9154394917673031,0.9144851845032341,0.9388264669163545
8.981381,l1,0.9151515151515152,0.9151515151515152,0.9154394917673031,0.9144851845032341,0.9375780274656679
8.312651,,,,,,
2.411141,l1,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
2.296411,l2,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9400749063670412
9.640741,l2,0.9181818181818182,0.9181818181818183,0.9187416817906836,0.9174726085124315,0.9363295880149812
9.467421,l1,0.9181818181818182,0.9181818181818183,0.9187416817906836,0.9174726085124315,0.9363295880149812
5.063291,l1,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
0.627601,,,,,,
3.710971,l1,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
9.906601,,,,,,
8.988141,l2,0.9151515151515152,0.9151515151515152,0.9154394917673031,0.9144851845032341,0.9375780274656679
2.705621,l1,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
8.009781,l2,0.9151515151515152,0.9151515151515152,0.9154394917673031,0.9144851845032341,0.9388264669163545
5.811541,l2,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
4.465651,,,,,,
9.782381,l2,0.9181818181818182,0.9181818181818183,0.9187416817906836,0.9174726085124315,0.9363295880149812
6.493001,,,,,,
8.737161,l2,0.9151515151515152,0.9151515151515152,0.9154394917673031,0.9144851845032341,0.9375780274656679
7.984251,,,,,,
4.695731,l1,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
2.402971,l2,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
2.314431,l2,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9400749063670412
7.504631,,,,,,
1.314801,l1,0.9090909090909091,0.9090909090909091,0.9090454079478985,0.9085773097040702,0.9425717852684145
1.210221,l1,0.9121212121212121,0.9121212121212121,0.9121450882320449,0.9117455663469958,0.9425717852684145
8.467081,,,,,,
4.633521,l2,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
8.218361,,,,,,
3.492891,l1,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
4.391791,l1,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
4.121641,,,,,,
9.288951,,,,,,
0.784231,,,,,,
9.188251,l1,0.9181818181818182,0.9181818181818183,0.9187416817906836,0.9174726085124315,0.9363295880149812
4.387171,,,,,,
3.711641,l2,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
9.923951,,,,,,
8.611971,l1,0.9151515151515152,0.9151515151515152,0.9154394917673031,0.9144851845032341,0.9375780274656679
2.727071,l1,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
4.100621,l1,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
1.930891,,,,,,
5.932341,l2,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
1.655501,l1,0.9121212121212121,0.9121212121212121,0.9122959528639042,0.9115498032679531,0.9400749063670412
0.755981,l1,0.9121212121212121,0.9121212121212121,0.9122775724825835,0.9119414848638593,0.9400749063670412
8.151421,l1,0.9151515151515152,0.9151515151515152,0.9154394917673031,0.9144851845032341,0.9388264669163545
9.488821,l2,0.9181818181818182,0.9181818181818183,0.9187416817906836,0.9174726085124315,0.9363295880149812
5.875661,,,,,,
4.524281,l1,0.9121212121212121,0.9121212121212121,0.9121555047567315,0.9115127870064836,0.9388264669163545
6.211341,,,,,,
0.776381,l2,0.9121212121212121,0.9121212121212121,0.9122775724825835,0.9119414848638593,0.9413233458177278
4.703391,,,,,,
7.428471,l1,0.9151515151515152,0.9151515151515152,0.9154394917673031,0.9144851845032341,0.9388264669163545
0.693581,l1,0.9121212121212121,0.9121212121212121,0.9122775724825835,0.9119414848638593,0.9388264669163545
8.201791,l1,0.9151515151515152,0.9151515151515152,0.9154394917673031,0.9144851845032341,0.9388264669163545
2.608711,,,,,,
8.856481,l1,0.9151515151515152,0.9151515151515152,0.9154394917673031,0.9144851845032341,0.9375780274656679
