lambda,regularizer,val_acc,val_recall,val_pre,val_f1,train_acc
0.1,l1,0.896969696969697,0.896969696969697,0.8978786909711118,0.8968486029889539,0.9338327091136079
0.1,l2,0.896969696969697,0.896969696969697,0.8978786909711118,0.8968486029889539,0.9325842696629213
0.1,,,,,,
0.25,l1,0.896969696969697,0.896969696969697,0.8978786909711118,0.8968486029889539,0.9325842696629213
0.25,l2,0.896969696969697,0.896969696969697,0.8978786909711118,0.8968486029889539,0.9325842696629213
0.25,,,,,,
0.5,l1,0.9,0.9,0.9005418681842592,0.8998252246440396,0.9388264669163545
0.5,l2,0.896969696969697,0.896969696969697,0.8978786909711118,0.8968486029889539,0.9363295880149812
0.5,,,,,,
0.75,l1,0.9121212121212121,0.9121212121212121,0.9122775724825835,0.9119414848638593,0.9400749063670412
0.75,l2,0.9121212121212121,0.9121212121212121,0.9122775724825835,0.9119414848638593,0.9413233458177278
0.75,,,,,,
0.8,l1,0.9121212121212121,0.9121212121212121,0.9122775724825835,0.9119414848638593,0.9425717852684145
0.8,l2,0.9121212121212121,0.9121212121212121,0.9122775724825835,0.9119414848638593,0.9413233458177278
0.8,,,,,,
1.0,l1,0.9121212121212121,0.9121212121212121,0.9122775724825835,0.9119414848638593,0.9425717852684145
1.0,l2,0.9121212121212121,0.9121212121212121,0.9122775724825835,0.9119414848638593,0.9425717852684145
1.0,,,,,,
