lambda,regularizer,val_acc,val_recall,val_pre,val_f1,train_acc
0.1,l1,0.8666666666666667,0.8666666666666667,0.8662829496162829,0.8664397304440478,1.0
0.1,l2,0.8696969696969697,0.8696969696969697,0.86937441573121,0.8694303912009683,1.0
0.1,,,,,,
0.25,l1,0.8727272727272727,0.8727272727272727,0.8724747474747474,0.8725539551227625,1.0
0.25,l2,0.8727272727272727,0.8727272727272727,0.8724747474747474,0.8725539551227625,1.0
0.25,,,,,,
0.5,l1,0.8727272727272727,0.8727272727272727,0.8723782010773075,0.8723645181978515,1.0
0.5,l2,0.8696969696969697,0.8696969696969697,0.86937441573121,0.8694303912009683,1.0
0.5,,,,,,
0.75,l1,0.8696969696969697,0.8696969696969696,0.869139063875906,0.8691701993856578,0.9975031210986267
0.75,l2,0.8696969696969697,0.8696969696969696,0.869139063875906,0.8691701993856578,0.9975031210986267
0.75,,,,,,
0.8,l1,0.8666666666666667,0.8666666666666667,0.8661029758855846,0.8660204959050478,0.9962546816479401
0.8,l2,0.8727272727272727,0.8727272727272727,0.8723782010773075,0.8723645181978515,0.9975031210986267
0.8,,,,,,
1.0,l1,0.8696969696969697,0.8696969696969696,0.8693519041345129,0.8692318534178999,0.9950062421972534
1.0,l2,0.8696969696969697,0.8696969696969696,0.8693519041345129,0.8692318534178999,0.9950062421972534
1.0,,,,,,
