alpha,activation,batch_size,hidden_layer_sizes,val_acc,val_recall,val_pre,val_f1,train_acc
5.7e-05,relu,68,"(380, 140, 160, 430, 365)",0.9030303030303031,0.903030303030303,0.90329537064736,0.9023483833528347,1.0
0.000439,tanh,46,"(335, 445, 215, 330, 105)",0.9181818181818182,0.9181818181818183,0.9186697854481314,0.917966172253037,1.0
0.000233,tanh,10,"(290, 125, 110, 330, 15)",0.9121212121212121,0.9121212121212121,0.9133253865865957,0.9120801095536691,0.9962546816479401
0.000249,relu,22,"(145,)",0.9030303030303031,0.903030303030303,0.9028797289666856,0.90264818729935,1.0
3.7e-05,tanh,28,"(465, 285)",0.9151515151515152,0.9151515151515152,0.9157509157509157,0.9149624026464928,1.0
0.000319,tanh,12,"(435, 495)",0.9151515151515152,0.915151515151515,0.9152029587809404,0.9146440756860267,1.0
0.000769,tanh,24,"(10,)",0.9090909090909091,0.9090909090909091,0.9099409211478177,0.9090548191366983,0.9962546816479401
0.000413,relu,52,"(15, 300, 265, 340)",0.8484848484848485,0.8484848484848485,0.848376859100156,0.8449930705266885,1.0
0.000277,tanh,60,"(205,)",0.9090909090909091,0.9090909090909091,0.9101273988066442,0.9086795992796263,1.0
0.000213,relu,30,"(340, 120, 415, 340)",0.9030303030303031,0.903030303030303,0.902762069066053,0.9023601514674972,1.0
3.9e-05,relu,68,"(500, 125)",0.9030303030303031,0.903030303030303,0.9028295017425453,0.9025434907567947,1.0
7.9e-05,relu,56,"(320, 85)",0.9030303030303031,0.903030303030303,0.9033009448280124,0.9027120819432883,1.0
0.000795,tanh,22,"(165,)",0.9090909090909091,0.9090909090909091,0.9091182660218103,0.9086500204637669,1.0
0.000933,relu,12,"(100, 450, 275)",0.8909090909090909,0.890909090909091,0.892672858617131,0.8911725067385445,1.0
0.000225,relu,44,"(100, 30, 350, 10, 235)",0.8848484848484849,0.8848484848484848,0.8852827293247855,0.8849771639145455,1.0
0.000907,tanh,22,"(425, 445, 170, 255)",0.9121212121212121,0.9121212121212121,0.9135082089627544,0.9117147191478859,0.9850187265917603
0.000385,tanh,30,"(20,)",0.906060606060606,0.9060606060606061,0.9058307346981816,0.9055647493721736,1.0
0.000489,tanh,12,"(90, 100, 440)",0.9090909090909091,0.9090909090909092,0.9090841823809451,0.9088506508453239,1.0
2.1e-05,tanh,14,"(150,)",0.9212121212121213,0.9212121212121213,0.9220802186319429,0.9211805425021867,1.0
0.000553,tanh,34,"(30, 230, 375)",0.8727272727272727,0.8727272727272727,0.8732937821576288,0.8704914693149988,1.0
0.000425,relu,44,"(225, 40, 150, 300)",0.9212121212121213,0.9212121212121213,0.9219524436915741,0.9212591026544515,1.0
